VariablesVari.,BinariesBina.,IntegersInte.,ContinuousCont.,ConstraintsCons.,Nonz.Nonz.,param_id,runtime,gap,status,objval
31762,27982,0,3780,12047,180618,0,1.556999921798706,0.0,2,318.0
31762,27982,0,3780,12047,180618,1,2.741999864578247,0.0031446540879931134,2,318.9999999999818
31762,27982,0,3780,12047,180618,2,1.5230000019073486,0.0,2,318.0
31762,27982,0,3780,12047,180618,3,0.6909999847412109,0.0,2,318.0
31762,27982,0,3780,12047,180618,4,2.7149999141693115,0.0031446540879931134,2,318.9999999999818
31762,27982,0,3780,12047,180618,5,1.4609999656677246,0.0,2,318.0
31762,27982,0,3780,12047,180618,6,0.6489999294281006,0.0,2,318.0
31762,27982,0,3780,12047,180618,7,2.739000082015991,0.0031446540879931134,2,318.9999999999818
31762,27982,0,3780,12047,180618,8,1.4739999771118164,0.0,2,318.0
31762,27982,0,3780,12047,180618,9,0.6769998073577881,0.0,2,318.0
31762,27982,0,3780,12047,180618,10,2.759999990463257,0.0031446540879931134,2,318.9999999999818
31762,27982,0,3780,12047,180618,11,1.4570000171661377,0.0,2,318.0
31762,27982,0,3780,12047,180618,12,0.6550002098083496,0.0,2,318.0
31762,27982,0,3780,12047,180618,13,2.7290000915527344,0.0031446540879931134,2,318.9999999999818
31762,27982,0,3780,12047,180618,14,1.4649999141693115,0.0,2,318.0
31762,27982,0,3780,12047,180618,15,0.6509997844696045,0.0,2,318.0
31762,27982,0,3780,12047,180618,16,2.746000051498413,0.0031446540879931134,2,318.9999999999818
31762,27982,0,3780,12047,180618,17,1.4700000286102295,0.0,2,318.0
31762,27982,0,3780,12047,180618,18,0.6500000953674316,0.0,2,318.0
31762,27982,0,3780,12047,180618,19,2.757999897003174,0.0031446540879931134,2,318.9999999999818
31762,27982,0,3780,12047,180618,20,1.4490001201629639,0.0,2,318.0
31762,27982,0,3780,12047,180618,21,0.6640000343322754,0.0,2,318.0
31762,27982,0,3780,12047,180618,22,2.7669999599456787,0.0031446540879931134,2,318.9999999999818
31762,27982,0,3780,12047,180618,23,1.4710001945495605,0.0,2,318.0
31762,27982,0,3780,12047,180618,24,0.6570000648498535,0.0,2,318.0
31762,27982,0,3780,12047,180618,25,2.736999988555908,0.0031446540879931134,2,318.9999999999818
31762,27982,0,3780,12047,180618,26,1.4750001430511475,0.0,2,318.0
31762,27982,0,3780,12047,180618,27,0.6670000553131104,0.0,2,318.0
13264,0,13264,0,41,335643,0,23.293999910354614,0.0,2,0.0
13264,0,13264,0,41,335643,1,5.946999788284302,0.0,2,0.0
13264,0,13264,0,41,335643,2,11.373000144958496,0.0,2,0.0
13264,0,13264,0,41,335643,3,11.782000064849854,0.0,2,0.0
13264,0,13264,0,41,335643,4,8.717000007629395,0.0,2,0.0
13264,0,13264,0,41,335643,5,11.329999923706055,0.0,2,0.0
13264,0,13264,0,41,335643,6,12.468999862670898,0.0,2,0.0
13264,0,13264,0,41,335643,7,14.773000001907349,0.0,2,0.0
13264,0,13264,0,41,335643,8,16.881999969482422,0.0,2,0.0
13264,0,13264,0,41,335643,9,21.627000093460083,0.0,2,0.0
13264,0,13264,0,41,335643,10,5.9690001010894775,0.0,2,0.0
13264,0,13264,0,41,335643,11,7.118000030517578,0.0,2,0.0
13264,0,13264,0,41,335643,12,7.809999942779541,0.0,2,0.0
13264,0,13264,0,41,335643,13,10.323999881744385,0.0,2,0.0
13264,0,13264,0,41,335643,14,41.990999937057495,0.0,2,0.0
13264,0,13264,0,41,335643,15,25.3270001411438,0.0,2,0.0
13264,0,13264,0,41,335643,16,12.569000005722046,0.0,2,0.0
13264,0,13264,0,41,335643,17,8.744999885559082,0.0,2,0.0
13264,0,13264,0,41,335643,18,13.745999813079834,0.0,2,0.0
13264,0,13264,0,41,335643,19,23.53600001335144,0.0,2,0.0
13264,0,13264,0,41,335643,20,16.608999967575073,0.0,2,0.0
13264,0,13264,0,41,335643,21,6.706000089645386,0.0,2,0.0
13264,0,13264,0,41,335643,22,20.604999780654907,0.0,2,0.0
13264,0,13264,0,41,335643,23,18.36300015449524,0.0,2,0.0
13264,0,13264,0,41,335643,24,21.030999898910522,0.0,2,0.0
13264,0,13264,0,41,335643,25,9.54800009727478,0.0,2,0.0
13264,0,13264,0,41,335643,26,28.3989999294281,0.0,2,0.0
13264,0,13264,0,41,335643,27,28.024999856948853,0.0,2,0.0
